CD_NOM;CD_REF;CD_SUP;CD_TYPE_STATUT;LB_TYPE_STATUT;REGROUPEMENT_TYPE;CODE_STATUT;LABEL_STATUT;RQ_STATUT;CD_SIG;CD_DOC;LB_NOM;LB_AUTEUR;NOM_COMPLET_HTML;NOM_VALIDE_HTML;REGNE;PHYLUM;CLASSE;ORDRE;FAMILLE;GROUP1_INPN;GROUP2_INPN;LB_ADM_TR;NIVEAU_ADMIN;CD_ISO3166_1;CD_ISO3166_2;FULL_CITATION;DOC_URL;THEMATIQUE;TYPE_VALUE
117933;117933;197263;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;rorippa amphibia;(L.) Besser, 1821;<i>Rorippa amphibia</i> (L.) Besser, 1821;<i>Rorippa amphibia</i> (L.) Besser, 1821;Plantae;;Equisetopsida;Brassicales;Brassicaceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
67422;67422;197298;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;rutilus rutilus;(Linnaeus, 1758);<i>Rutilus rutilus</i> (Linnaeus, 1758);<i>Rutilus rutilus</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
67203;67203;189915;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;blicca bjoerkna;(Linnaeus, 1758);<i>Blicca bjoerkna</i> (Linnaeus, 1758);<i>Blicca bjoerkna</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
109732;109732;195292;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;nuphar lutea;(L.) Sm., 1809;<i>Nuphar lutea</i> (L.) Sm., 1809;<i>Nuphar lutea</i> (L.) Sm., 1809;Plantae;;Equisetopsida;Nymphaeales;Nymphaeaceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
115296;115296;196613;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;potamogeton perfoliatus;L., 1753;<i>Potamogeton perfoliatus</i> L., 1753;<i>Potamogeton perfoliatus</i> L., 1753;Plantae;;Equisetopsida;Alismatales;Potamogetonaceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
105433;105433;193939;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;lemna minuta;Kunth, 1816;<i>Lemna minuta</i> Kunth, 1816;<i>Lemna minuta</i> Kunth, 1816;Plantae;;Equisetopsida;Alismatales;Araceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
103772;103772;193623;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;iris pseudacorus;L., 1753;<i>Iris pseudacorus</i> L., 1753;<i>Iris pseudacorus</i> L., 1753;Plantae;;Equisetopsida;Asparagales;Iridaceae;Trachéophytes;Angiospermes;Monde;;;;;;STATUTS;VALUE
521597;521597;196688;LRM;Liste rouge mondiale;Liste rouge;LC;Préoccupation mineure;;WORLD;;proterorhinus semilunaris;(Heckel, 1837);<i>Proterorhinus semilunaris</i> (Heckel, 1837);<i>Proterorhinus semilunaris</i> (Heckel, 1837);Animalia;Chordata;Actinopterygii;Gobiiformes;Gobiidae;Chordés;Poissons;Monde;;;;;;STATUTS;VALUE
67286;67286;194070;LRN;Liste rouge nationale;Liste rouge;DD;Données insuffisantes;;TERFXFR;275396;leucaspius delineatus;(Heckel, 1843);<i>Leucaspius delineatus</i> (Heckel, 1843);<i>Leucaspius delineatus</i> (Heckel, 1843);Animalia;Chordata;Actinopterygii;Cypriniformes;Leuciscidae;Chordés;Poissons;France métropolitaine;Territoire;FXX;;"UICN Comité français, MNHN, SFI &amp; AFB. 2019. <em>La Liste rouge des espèces menacées en France – Chapitre Poissons d'eau douce de France métropolitaine. Fascicule</em>. UICN France, MNHN, SFI &amp; AFB. Paris, France. 16 pp.";https://inpn.mnhn.fr/docs/LR_FCE/liste_rouge_poissons_eau_douce_metropole_2019_fascicule.pdf;STATUTS;VALUE
108027;108027;194615;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;mentha aquatica;L., 1753;<i>Mentha aquatica</i> L., 1753;<i>Mentha aquatica</i> L., 1753;Plantae;;Equisetopsida;Lamiales;Lamiaceae;Trachéophytes;Angiospermes;Europe;;;;;;STATUTS;VALUE
67550;67550;189745;LRE;Liste rouge européenne;Liste rouge;LC;Préoccupation mineure;;EUROPE;;barbatula barbatula;(Linnaeus, 1758);<i>Barbatula barbatula</i> (Linnaeus, 1758);<i>Barbatula barbatula</i> (Linnaeus, 1758);Animalia;Chordata;Actinopterygii;Cypriniformes;Nemacheilidae;Chordés;Poissons;Europe;;;;;;STATUTS;VALUE
