CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;CdSupport;LbSupport;DateDebutOperationPrelBio;CdListeFauFlor;LbListeFauFlor;CdTypListeFauFlor;MnTypListeFauFlor;CdTypTaxRep;MnTypTaxRep;CdAppelTaxon;NomLatinAppelTaxon;RsTaxRep;CdRqNbrTaxRep;MnemoRqNbrTaxRep;CdUniteMesure;SymUniteMesure;RefOperationPrelBio;CdProducteur;NomProducteur
3079622;LE RÉVEILLON A VILLECRESNES 2;005;4;Poissons;2006-06-29;P2#L#0;pre_id886;;;1;NbrTax;2071;Barbatula barbatula;1;1;Domaine de validité;214;n;Aspe1719eta2_SurfEchMc583.00_SBVDKmc88.00_DSrcKm16.00_LarMEauM5.30_PntCEPM2.90_ProfMStaM0.72_AltM59_TAir1C4.1_TAir7C19.8;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;1998-05-27;A1#L#0;pre_id4723;;;1;NbrTax;31041;Squalius cephalus;1;1;Domaine de validité;214;n;Aspe929eta1_1998-05-27_10:30:00_03112480;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063650;LA SEINE A ORLY 1;004;10;Diatomées benthiques;2022-06-29;;L1;;;1;NbrTax;9430;Navicula;1;1;Domaine de validité;214;n;20230703214651-HB-549801;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;003;13;Macroinvertébrés aquatiques;2011-07-11;B;B2;;;1;NbrTax;1009;Planorbidae;46;1;Domaine de validité;0;Unité inconnue;20180130180354-HB-7461;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;10;Diatomées benthiques;2024-06-18;;L1;;;1;NbrTax;14001;Gomphonema minutum;6;1;Domaine de validité;214;n;20250619164042-HB-601288;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;003;13;Macroinvertébrés aquatiques;2020-08-13;A;A;;;1;NbrTax;5097;Jaera;1;1;Domaine de validité;214;n;20210908103329-HB-498346;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;10;Diatomées benthiques;2021-06-15;;L1;;;1;NbrTax;7417;Diploneis;7;1;Domaine de validité;214;n;20220627161508-HB-518472;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF)
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2020-08-10;;L1;;;4;BioVolTax;9804;Nitzschia;0.010089;1;Domaine de validité;536;mm3/L;20220104120756-HB-505755;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3079622;LE RÉVEILLON A VILLECRESNES 2;003;13;Macroinvertébrés aquatiques;2019-07-17;B;B;;;1;NbrTax;933;Oligochaeta;104;1;Domaine de validité;214;n;20201029143648-HB-475813;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3079622;LE RÉVEILLON A VILLECRESNES 2;003;13;Macroinvertébrés aquatiques;2014-08-19;A;B1;;;1;NbrTax;880;Asellidae;178;1;Domaine de validité;0;Unité inconnue;20180130180135-HB-6800;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF)
3112480;LA MARNE A CHARENTON-LE-PONT 2;004;10;Diatomées benthiques;2017-08-16;;L1;;;1;NbrTax;14426;Karayevia ploenensis;3;1;Domaine de validité;214;n;20190205185922-HB-30637;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;2022-08-23;GPSL#0;pre_id96407;;;1;NbrTax;2096;Barbus barbus;5;1;Domaine de validité;214;n;Aspe88860eta2_SurfEchMc1250.0_SBVDKmc12684.7_DSrcKm493.0_LarMEauM76.5_PntCEPM0.1_ProfMStaM2.81_AltM35_TAir1C4.5_TAir7C20.3;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063650;LA SEINE A ORLY 1;003;13;Macroinvertébrés aquatiques;2022-06-29;B;B;;;1;NbrTax;3170;Ostracoda;1;1;Domaine de validité;214;n;20230704161837-HB-550178;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;005;4;Poissons;1999-10-20;A7#L#0;pre_id4839;;;1;NbrTax;31041;Squalius cephalus;18;1;Domaine de validité;214;n;Aspe947eta1_1999-10-20_10:00:00_03112480;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063650;LA SEINE A ORLY 1;003;13;Macroinvertébrés aquatiques;2010-08-05;A;B1;;;1;NbrTax;906;Hydracarina;1;4;Pres. ou Abs. ou NQ/ND;0;Unité inconnue;20180130180112-HB-6669;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112088;LA MARNE A CHAMPIGNY-SUR-MARNE 1;005;4;Poissons;1997-05-28;A2#L#0;pre_id4625;;;1;NbrTax;2193;Perca fluviatilis;1;1;Domaine de validité;214;n;Aspe913eta1_1997-05-28_10:30:00_03112088;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112348;LA MARNE A BONNEUIL-SUR-MARNE 1;005;4;Poissons;2006-06-15;GPSL#0;pre_id7045;;;1;NbrTax;2151;Esox lucius;1;1;Domaine de validité;214;n;Aspe1633eta2_SurfEchMc1250.00_SBVDKmc12600.00_DSrcKm505.00_LarMEauM80.00_PntCEPM0.10_ProfMStaM4.00_AltM31_TAir1C4.6_TAir7C20.4;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3112480;LA MARNE A CHARENTON-LE-PONT 2;004;10;Diatomées benthiques;2022-08-23;;L1;;;1;NbrTax;10944;Amphora macedoniensis;4;1;Domaine de validité;214;n;20230703214614-HB-549776;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;005;4;Poissons;2014-08-28;GPSL#0;pre_id12583;;;1;NbrTax;2050;Lepomis gibbosus;2;1;Domaine de validité;214;n;Aspe4870eta1_2014-08-28_14:40:00_03063000;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3081001;LE RUISSEAU DE RUNGIS A FRESNES 1;003;13;Macroinvertébrés aquatiques;2010-06-09;A;B1;;;1;NbrTax;978;Potamopyrgus;1;1;Domaine de validité;0;Unité inconnue;20180130180137-HB-6816;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF)
3112480;LA MARNE A CHARENTON-LE-PONT 2;003;13;Macroinvertébrés aquatiques;2022-08-23;C;C';;;1;NbrTax;704;Sialis;1;1;Domaine de validité;214;n;20230704161839-HB-550190;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;004;10;Diatomées benthiques;2022-06-16;;L1;;;1;NbrTax;8781;Gomphonema;2;1;Domaine de validité;214;n;20230703214652-HB-549802;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3063000;LA SEINE A ABLON-SUR-SEINE 2;008;11;Phytoplancton;2024-10-21;Camp2024-10-21;L1;;;4;BioVolTax;6274;Cryptomonas ovata;0.01974;1;Domaine de validité;536;mm3/L;20250618165004-HB-600991;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;004;10;Diatomées benthiques;2015-06-24;;L1;;;1;NbrTax;11981;Caloneis lancettula;11;1;Domaine de validité;214;n;20180201135845-HB-13631;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF)
3063650;LA SEINE A ORLY 1;003;13;Macroinvertébrés aquatiques;2012-08-07;A;B1;;;1;NbrTax;819;Ceratopogonidae;1;1;Domaine de validité;0;Unité inconnue;20180130180112-HB-6670;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3079622;LE RÉVEILLON A VILLECRESNES 2;004;10;Diatomées benthiques;2014-08-19;;L1;;;1;NbrTax;9079;Simonsenia delognei;3;1;Domaine de validité;214;n;20180201135947-HB-16470;13001220600012;DIRECTION REGIONALE ET INTERDEPARTEMENTALE DE L'ENVIRONNEMENT ET DE L'ENERGIE ILE DE FRANCE (DRIEE-IF)
3112000;LA MARNE A JOINVILLE-LE-PONT 1;003;13;Macroinvertébrés aquatiques;2010-08-03;A;B1;;;1;NbrTax;387;Cloeon;4;1;Domaine de validité;0;Unité inconnue;20180130180353-HB-7457;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3079622;LE RÉVEILLON A VILLECRESNES 2;007;27;Macrophytes;2014-08-04;F2;P2;;;3;RecTax;1219;Amblystegium riparium;0;1;Domaine de validité;243;%;20180130183006-HB-11002;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3079622;LE RÉVEILLON A VILLECRESNES 2;005;4;Poissons;2020-08-11;P1#L#0;pre_id87098;;;1;NbrTax;2193;Perca fluviatilis;11;1;Domaine de validité;214;n;Aspe84648eta2_SurfEchMc580.0_SBVDKmc88.0_DSrcKm16.0_LarMEauM5.0_PntCEPM2.9_ProfMStaM0.54_AltM59_TAir1C4.1_TAir7C19.8;13002591902128;OFFICE FRANCAIS DE LA BIODIVERSITE - OFB DIRECTION REGIONALE ILE DE FRANCE (OFB)
3063000;LA SEINE A ABLON-SUR-SEINE 2;003;13;Macroinvertébrés aquatiques;2020-08-14;B;B;;;1;NbrTax;313;Ceraclea;11;1;Domaine de validité;214;n;20210908103329-HB-498337;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
3112480;LA MARNE A CHARENTON-LE-PONT 2;003;13;Macroinvertébrés aquatiques;2010-08-04;C;B3;;;1;NbrTax;3212;Corophium;8;1;Domaine de validité;0;Unité inconnue;20180130180354-HB-7460;18750009500026;AGENCE DE L'EAU SEINE-NORMANDIE
